Product Name,Product Currency,Product Price,Product Brand,Product Description,Product Page Link,Product Image Link,Category,Sub-Category,Rating,Source,Available,Delivery,Release Date
Clorox 5X1 Disinfecting Household Cleaner Pouch - Sea Breeze - 200ml,EGP,5,Clorox,"-5X1 Disinfecting Household Cleaner Pouch 
-Sea Breeze 
-200ml 
",https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-pouch-sea-breeze-200ml-17653055.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/035671/1.jpg?6623,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Easy Care Fresh Wipes Gardenia - 80 Pcs,EGP,24,Easy Care,"-Easy care wipes cleans, refreshes & moisturizes your skin. 
-Easy care wipes is safe for cleaning and refreshing due to its unique Non Alcoholic Perfume, all fragrances are water based , causing no skin irritation 
-Registered at the Ministry of Health 
",https://www.jumia.com.eg/easy-care-fresh-wipes-gardenia-80-pcs-20552554.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/525502/1.jpg?9224,Supermarket,Household Supplies,4.8 out of 5,Jumia,True,True,"September 30,2021"
General Dustpan Broom Set,EGP,55,General,"-Dustpan Broom set 
-high quality, reliable, innovative and long lasting products. We pride ourselves to be your expert partner for perfect homecare. Our products are built to make your housework easier. 
",https://www.jumia.com.eg/general-dustpan-broom-set-19844418.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/444891/1.jpg?4454,Supermarket,Household Supplies,3.4 out of 5,Jumia,True,True,"September 30,2021"
Clorox 5X1 Disinfecting Household Cleaner Pouch - Lemon - 200ml,EGP,5,Clorox,"-5X1 Disinfecting Household Cleaner Pouch 
-Lemon 
-200ml 
",https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-pouch-lemon-200ml-17653052.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/035671/1.jpg?6613,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Clorox Kitchen Cleaner Trigger + Clorox Bathroom Cleaner Trigger – 500ml,EGP,65,Clorox,"-Brand: Clorox 
-Multi-purpose Kitchen Cleaner 
-Multi-purpose Bathroom Cleaner 
-500ml 
",https://www.jumia.com.eg/clorox-kitchen-cleaner-trigger-clorox-bathroom-cleaner-trigger-500ml-19942503.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/524991/1.jpg?5057,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Maxell Magic Floor Cleaner - Winter Ice Scent - 1Liter,EGP,12,Maxell,"-Brand:Maxell 
-Type:Floor Cleaner 
-Weight:1Liter 
",https://www.jumia.com.eg/maxell-magic-floor-cleaner-winter-ice-scent-1liter-22140667.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/604122/1.jpg?1270,Supermarket,Household Supplies,4 out of 5,Jumia,True,True,"September 30,2021"
Cif Ultra Fast Kitchen Cleaning Spray - 500 ml,EGP,26,Cif,"-Type: Kitchen cleaner 
-Product form: Liquid 
-Size: 500 ml 
",https://www.jumia.com.eg/ultra-fast-kitchen-cleaning-spray-500-ml-cif-mpg831065.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/997622/1.jpg?8768,Supermarket,Household Supplies,4.8 out of 5,Jumia,True,True,"September 30,2021"
Maxell Magic Floor Cleaner - lemon Fresh Scent - 1 Liter,EGP,12,Maxell,"-Brand:Maxell 
-Type:Floor Cleaner 
-Weight:1Liter 
",https://www.jumia.com.eg/maxell-magic-floor-cleaner-lemon-fresh-scent-1-liter-22140663.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/604122/1.jpg?1252,Supermarket,Household Supplies,0 out of 5,Jumia,True,True,"September 30,2021"
Mr Cleaner Stainless Steel Scourer – 8 Pcs,EGP,49,Mr Cleaner,"-*8 Pieces 
-*Stainless Steel Scourer For Stubborn Dirts. 
-*Deep cleaning. 
-*Stainless Steel  Spiral Lasts a long time 
-*For a brighter clean Scourer. 
-*Stainless Steel  Spiral For tough dirt removal. 
-*Suitable for kitchen utensils ,stove,water tank. 
-*This product is strong and tough with high temperature resistance and corrosion resistance, easy to store. 
-*100 uses around the house  . 
-*used to remove scratches from brass; paint spots from ceramic tile; rubbing floors between finish coats. and for cleaning machinery, tools and garden implements, or for removing old paint and rust. 
",https://www.jumia.com.eg/stainless-steel-scourer-8-pcs-mr-cleaner-mpg188677.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/96506/1.jpg?4265,Supermarket,Household Supplies,4.2 out of 5,Jumia,True,True,"September 30,2021"
Veroll Window Cleaner - 450ml - 3 Pcs + Cleaning Pad - 2 Pcs,EGP,37,Veroll,"-veroll 3pcs combo window cleaner and fresheners 
-3 smell coconut & oud & cranberry 
-window cleaner and bright glass 
-2 towels free for window cleaner and surfaces 
-3 fresheners smell for all uses 
-cap & sprayer & towel colour may vary 
",https://www.jumia.com.eg/window-cleaner-450ml-3-pcs-cleaning-pad-2-pcs-veroll-mpg133655.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/71102/1.jpg?6509,Supermarket,Household Supplies,3.9 out of 5,Jumia,True,True,"September 30,2021"
Clorox Multi-Purpose Cleaner – 1.89L,EGP,21,Clorox,"-Helps reduce soil adhesion to surfaces and provides a quicker clean 
-Delivers brighter and longer-lasting whites by improving performance between Clorox® Disinfecting Bleach and detergents 
-Disinfects to kill 99.9% of germs and bacteria 
-New Clorox® Disinfecting Bleach with CLOROMAX® keeps clothes whiter longer† and cleans and protects surfaces‡. 
",https://www.jumia.com.eg/clorox-multi-purpose-cleaner-1.89l-17653051.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/035671/1.jpg?6609,Supermarket,Household Supplies,4.8 out of 5,Jumia,True,True,"September 30,2021"
Dettol Crisp Breeze Disinfectant Surface Spray – 450ml – 2 PCS,EGP,100,Dettol,"-Brand: Dettol 
-Crisp Breeze Disinfectant Surface Spray 
-Size: 450ml 
",https://www.jumia.com.eg/dettol-crisp-breeze-disinfectant-surface-spray-450ml-2-pcs-22142516.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/524122/1.jpg?5193,Supermarket,Household Supplies,0 out of 5,Jumia,True,True,"September 30,2021"
Dettol Morning Dew Disinfectant Surface Spray – 450ml – 2 PCS,EGP,100,Dettol,"-Brand: Dettol 
-Morning Dew Disinfectant Surface Spray 
-Size: 450ml 
",https://www.jumia.com.eg/dettol-morning-dew-disinfectant-surface-spray-450ml-2-pcs-22142517.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/524122/1.jpg?5266,Supermarket,Household Supplies,0 out of 5,Jumia,True,True,"September 30,2021"
Dettol Multi Action All-Purpose Surface Cleaner – Jasmine  – 1.3L + 650ml,EGP,71,Dettol,"-Brand: DettolMulti Action All-Purpose Surface Cleaner 
-Jasmine 
-1.3L + 650ml 
",https://www.jumia.com.eg/dettol-multi-action-all-purpose-surface-cleaner-jasmine-1.3l-650ml-21939099.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/093912/1.jpg?8706,Supermarket,Household Supplies,3.3 out of 5,Jumia,True,True,"September 30,2021"
Harpic Active Fresh Disinfectant Toilet Cleaner – Lavender – 700ml – 2 Pcs,EGP,55,Harpic,"-Brand: Harpic 
-Active Fresh Disinfectant Toilet Cleaner 
-Lavender 
-700ml 
-2 Pcs 
",https://www.jumia.com.eg/harpic-active-fresh-disinfectant-toilet-cleaner-lavender-700ml-2-pcs-21163720.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/736112/1.jpg?5602,Supermarket,Household Supplies,4.3 out of 5,Jumia,True,True,"September 30,2021"
